feature,mean,std,min,max
pl_bmasse,711.0272259390832,1454.1812467600844,0.015,25426.4
pl_rade,9.117580100754525,4.254019047536297,0.29631048,77.3421
pl_orbper,63084.38588650388,4840519.37205325,0.090706293,402000000.0
pl_orbsmax,14.45425745047217,322.4471316462213,0.0044,19000.0
pl_eqt,1085.765979724837,313.7556132338002,34.0,4050.0
st_mass,0.9718129385952208,0.5736784031260224,0.0031,23.56
st_rad,1.654734692396814,3.8510621939602876,0.0123,88.475
st_teff,5454.674068066618,1582.061346492431,415.0,57000.0
st_met,0.06041920347574223,0.19614708595082825,-1.0,7.79
st_age,4.387813830557567,2.053809616453931,0.001,16.8
st_dens,1.9189204829833455,6.032709540454593,0.0026,187.952403
pl_dens,3.2240654547429397,41.02961822236032,0.00074,2331.0
discoverymethod,0.0,0.0,0.0,0.0
disc_year,2013.9994207096306,6.815308896435248,1992.0,2025.0
sy_dist,735.4906874044894,1629.3192684837416,1.30119,8980.0
