discoverymethod,mean,median,std,count
Astrometry,4349.731658302,3750.3752026,3483.774361712659,5
Disk Kinematics,794.575,794.575,,1
Eclipse Timing Variations,1890.056928665,1673.68880387,1575.5361192754744,24
Imaging,4477.241200136061,3983.6805,2555.6859582884085,132
Microlensing,759.3690088007857,120.38739733,1861.5945963504403,700
Orbital Brightness Modulation,421.654246525,635.643407,309.0664980911046,8
Pulsar Timing,172.12763325307694,3.4,299.0135120393698,13
Pulsation Timing Variations,2383.725,2383.725,1932.7618350748753,2
Radial Velocity,982.4469225350232,429.06025,1497.796576528451,2592
Transit,337.20455461410637,78.5,889.1538582892251,3385
Transit Timing Variations,485.25737598534886,55.2,1314.5344101654714,43
