model_name,scaler,train_mse,test_mse,train_r2,test_r2,cv_mse
LinearRegression,standard,264567.2828286869,2978135.061467624,0.8761259535702411,-0.4681872111287264,1.3493522292889352e+18
Ridge,standard,283125.9495777188,250468.22939658488,0.867436530139028,0.8765219697548228,667305.4957084289
Lasso,standard,296290.8817766689,245148.98412502074,0.8612725275268329,0.87914429806411,542266.8326523508
ElasticNet,standard,306275.0320228333,261258.4335919533,0.8565978108425485,0.8712025200058579,543981.5938216787
DecisionTree,standard,182054.2410231087,244013.3864364951,0.9147596964215947,0.8797041349985905,294450.34874453093
RandomForest,standard,21219.087679995035,55237.116448969275,0.9900649308396502,0.9727687205999181,166781.04120109245
GradientBoosting,standard,10247.544729847841,99800.44985406412,0.9952019583900018,0.9507994966257767,121118.63635513435
AdaBoost,standard,93253.06950141366,511807.08163081825,0.9563376282296568,0.74768484427124,168901.27412540672
SVR,standard,1456935.810834451,1272664.1913161888,0.3178425830024204,0.3725908156659924,1604195.0693478968
KNN,standard,6.677052256013828e-09,275278.53652717185,0.9999999999999969,0.8642907663736863,451948.51712294976
MLP,standard,78290.2790243683,90264.19862269335,0.9633434128544793,0.95550076161579,561641.9408234024
LinearRegression,minmax,264567.2828286867,2978135.061573957,0.8761259535702413,-0.4681872111811476,1.3493522275875274e+18
Ridge,minmax,301515.0300693114,249441.43515986105,0.8588265093297236,0.87702816780686,342795.75439410715
Lasso,minmax,321370.63608841295,254359.44490317156,0.8495298410659692,0.8746036441165956,333611.15848036367
ElasticNet,minmax,391459.0384023157,299695.4005116576,0.8167134855831869,0.8522535260544963,404730.2391793633
DecisionTree,minmax,22547.170833067332,797237.982263732,0.9894431040120573,0.6069706089122557,313536.6289706047
RandomForest,minmax,19758.683668510384,56108.85221887602,0.9907487121159693,0.9723389646343744,170810.0412043205
GradientBoosting,minmax,10304.33402358635,86597.17366800115,0.9951753688603591,0.9573085638243023,128366.51732745417
AdaBoost,minmax,85866.66773381898,503041.08465544356,0.9597960432903745,0.7520063825448252,178429.49725980326
SVR,minmax,1523490.0391177759,1385813.687842186,0.2866809764866075,0.3168093818772719,1694774.2505562028
KNN,minmax,3.051535585823026e-08,226386.40929257957,0.9999999999999857,0.8883940371955719,370557.9976393199
MLP,minmax,438005.3022197826,375475.8690279962,0.7949198836547495,0.8148946043022361,747475.5158431833
LinearRegression,robust,2132926.3695838554,2014976.6521445413,0.001334491127642834,0.006639091128489039,1.168198937255328e+20
Ridge,robust,2135473.4065518137,2028617.759358308,0.00014193333193268654,-8.582186018468718e-05,24510302318823.395
Lasso,robust,268146.40893443226,262850.8680041433,0.8744501574224305,0.8704174676861063,10120921034194.307
ElasticNet,robust,268133.18340917473,263796.7800757913,0.8744563497955473,0.8699511436350535,10425997065632.795
DecisionTree,robust,22547.273800716215,797230.0069285451,0.9894430558011855,0.6069745406631282,313481.13559876377
RandomForest,robust,19801.302673752496,58929.02889496515,0.9907287573106066,0.9709486491370923,169806.23299318648
GradientBoosting,robust,10304.334023586354,85378.52831010483,0.9951753688603591,0.957909342329117,127938.53834613542
AdaBoost,robust,85866.66773381896,503041.0846554436,0.9597960432903745,0.7520063825448252,180760.5421104559
SVR,robust,2333804.2131001707,2253259.8203822216,-0.0927192824470835,-0.11083184051602624,2358565.1878049155
KNN,robust,1.233813813901315e-05,1046163.7867458628,0.9999999999942231,0.4842529768648728,1083739.8097777802
MLP,robust,265871763923127.44,347949126142355.25,-124484821.44836466,-171535018.93085334,2.7537425997632144e+24
LinearRegression,power,646516.0305299403,589336.1870592051,0.6972922882709311,0.709463864117266,694211.7923705376
Ridge,power,649832.2844314451,590227.7548670012,0.6957395725104042,0.7090243311792886,694945.2346785805
Lasso,power,654337.3258794369,585980.3542434862,0.6936302500441872,0.7111182520886083,702070.6020425046
ElasticNet,power,673360.0938545023,572039.682490253,0.6847235280256087,0.7179908470381986,710629.1206666343
DecisionTree,power,22547.170833067332,772756.9903097688,0.9894431040120573,0.6190394636017544,309898.96885846386
RandomForest,power,19938.906651715817,55194.886930188266,0.990664329232528,0.9727895392794362,171155.07458650932
GradientBoosting,power,10353.748195433427,86904.54930100162,0.9951522324643836,0.9571570310818076,127728.01424530339
AdaBoost,power,85438.64102039422,502188.2058427637,0.9599964512939836,0.7524268422417747,179282.59953879405
SVR,power,1672630.6891533488,1534583.781924674,0.2168512696175472,0.24346739267189044,1773674.242953852
KNN,power,2.5152099790976053e-08,571094.0787235853,0.9999999999999882,0.7184570190983511,659842.2520244244
MLP,power,384798.2766579793,313973.02509376674,0.8198321459887887,0.8452148171362985,547424.442935905
LinearRegression,quantile,776328.5516653627,786991.7541798513,0.6365122776121461,0.6120218845342715,1098897.907527888
Ridge,quantile,862279.075712007,773500.0489191643,0.5962690582216733,0.618673144034335,891222.860295111
Lasso,quantile,866389.3757537269,769300.710060615,0.5943445591197267,0.620743371032126,891494.3139124651
ElasticNet,quantile,870721.0933387426,758118.6815806421,0.5923163892738191,0.6262559857624609,894903.91826932
DecisionTree,quantile,98089.72655881279,146617.74591933918,0.9540730387668659,0.927719094318975,319093.83476889913
RandomForest,quantile,15761.155867313551,57400.02365946612,0.9926204097013821,0.9717024315835481,167566.6080611988
GradientBoosting,quantile,10539.082698245986,69091.32874016398,0.9950654562970473,0.9659387491962134,146139.3747654533
AdaBoost,quantile,94609.30560375168,484393.00713393145,0.95570261980339,0.7611996757851018,173614.283366586
SVR,quantile,1659959.3721420402,1527592.544784861,0.2227841547989755,0.24691399423521365,1771343.3757638622
KNN,quantile,2.1061170265672212e-08,473833.37288053706,0.9999999999999901,0.7664054571365327,585105.6782763151
MLP,quantile,201169.38809042991,133998.30916662715,0.9058097212394318,0.9339403352195973,341637.9030119768
